Action,Specific point / Chapter,Actor name,Actor Name New,Country,"Affiliation
1) civil society/NGO 2) business organisations 3) consulting 4) government 5) academia 6) personal"
Action 01,International VAT/GST Guidelines,Tax Mediation Association,Tax Mediation Association,canada,3
Action 01,International VAT/GST Guidelines,Tom Borec,Tom Borec,switzerland,6
Action 01,International VAT/GST Guidelines,United States Council for International Business (USCIB),United States Council for International Business (USCIB),US,3
Action 01,International VAT/GST Guidelines,VAT in Industry Group (VIG),VAT in Industry Group (VIG),UK,2
Action 01,International VAT/GST Guidelines,Vodafone,Vodafone,UK,2
Action 14,Make dispute resolution mechanisms more effective,AFME-BBA (Association for Financial Markets in Europe - British Bankers’ Association),AFME (Association for Financial Markets in Europe),europe,2
Action 14,Make dispute resolution mechanisms more effective,,BBA (British Bankers’ Association),UK,2
Action 14,Make dispute resolution mechanisms more effective,AlixPartners LLP,AlixPartners LLP,US,3
Action 14,Make dispute resolution mechanisms more effective,AOTCA-CFE,AOTCA (Asia Oceania Tax Consultants Association),asia,3
Action 14,Make dispute resolution mechanisms more effective,,CFE,europe,3
Action 14,Make dispute resolution mechanisms more effective,Arnaud Booij,Arnaud Booij,Netherlands,6
Action 14,Make dispute resolution mechanisms more effective,BDI,BDI,Germany,2
Action 14,Make dispute resolution mechanisms more effective,BDO,BDO,world,3
Action 14,Make dispute resolution mechanisms more effective,BEPS Monitoring Group (BMG),BEPS Monitoring Group (BMG),world,1
Action 14,Make dispute resolution mechanisms more effective,BIAC,BIAC,world,2
Action 14,Make dispute resolution mechanisms more effective,Brose Fahrzeugteile GmbH & Co KG,Brose Fahrzeugteile GmbH & Co KG,Germany,2
Action 14,Make dispute resolution mechanisms more effective,BusinessEurope,BusinessEurope,europe,2
Action 14,Make dispute resolution mechanisms more effective,CBI,CBI (Confederation of British Industry),UK,2
Action 14,Make dispute resolution mechanisms more effective,Christian Aid,Christian Aid,UK,1
Action 14,Make dispute resolution mechanisms more effective,CIOT,CIOT,UK,3
Action 14,Make dispute resolution mechanisms more effective,Confederation of Swedish Enterprise,Confederation of Swedish Enterprise,Sweden,2
Action 14,Make dispute resolution mechanisms more effective,Deloitte,Deloitte,world,3
Action 14,Make dispute resolution mechanisms more effective,EBIT,EBIT,europe,3
Action 14,Make dispute resolution mechanisms more effective,Ernst & Young,Ernst & Young,world,3
Action 14,Make dispute resolution mechanisms more effective,Fernando Serrano,Fernando Serrano,Spain,5
Action 14,Make dispute resolution mechanisms more effective,FIDAL,FIDAL,world,3
Action 14,Make dispute resolution mechanisms more effective,Global Financial Integrity,Global Financial Integrity,US,3
Action 14,Make dispute resolution mechanisms more effective,Grant Thornton,Grant Thornton,world,3
Action 14,Make dispute resolution mechanisms more effective,IAPT,IAPT,world,2
Action 14,Make dispute resolution mechanisms more effective,IBA Taxes Committee,IBA Taxes Committee,UK,3
Action 14,Make dispute resolution mechanisms more effective,ICAEW,ICAEW,UK,3
Action 14,Make dispute resolution mechanisms more effective,,ICAEW,Ireland,3
Action 14,Make dispute resolution mechanisms more effective,ICC,ICC,world,2
Action 14,Make dispute resolution mechanisms more effective,ICI Global,ICI Global,US,3
Action 14,Make dispute resolution mechanisms more effective,IDW,IDW,Germany,5
Action 14,Make dispute resolution mechanisms more effective,IFA Grupo Mexicano (Mexican Branch of the International Fiscal Association),IFA Mexico,Mexico,1
Action 14,Make dispute resolution mechanisms more effective,Irish Tax Institute,Irish Tax Institute,Ireland,3
Action 14,Make dispute resolution mechanisms more effective,IUA,IUA,UK,2
Action 14,Make dispute resolution mechanisms more effective,Japan Foreign Trade Council (JFTC),Japan Foreign Trade Council (JFTC),Japan,2
Action 14,Make dispute resolution mechanisms more effective,Keidanren,Keidanren,Japan,2
Action 14,Make dispute resolution mechanisms more effective,KPMG,KPMG,world,3
Action 14,Make dispute resolution mechanisms more effective,Loyens & Loeff,Loyens & Loeff,Netherlands,3
Action 14,Make dispute resolution mechanisms more effective,Maisto e Associati,Maisto e Associati,italy,3
Action 14,Make dispute resolution mechanisms more effective,Matheson,Matheson,world,3
Action 14,Make dispute resolution mechanisms more effective,MEDEF,MEDEF,France,2
Action 14,Make dispute resolution mechanisms more effective,NFTC,National Foreign Trade Council (NFTC),US,2
Action 14,Make dispute resolution mechanisms more effective,PwC,PwC,world,3
Action 14,Make dispute resolution mechanisms more effective,Quantera Global,Quantera Global,world,3
Action 14,Make dispute resolution mechanisms more effective,RBRT,RBRT,canada,5
Action 14,Make dispute resolution mechanisms more effective,SABMiller,SABMiller,UK,2
Action 14,Make dispute resolution mechanisms more effective,Siemens AG,Siemens,Germany,2
Action 14,Make dispute resolution mechanisms more effective,Studio Tributario Tognolo,Studio Tributario Tognolo,italy,3
Action 14,Make dispute resolution mechanisms more effective,Taxand,Taxand,world,3
Action 14,Make dispute resolution mechanisms more effective,TD Bank,TD Bank,US,2
Action 14,Make dispute resolution mechanisms more effective,TEI,"Tax Executives Institute, Inc",world,3
Action 14,Make dispute resolution mechanisms more effective,Tribute,Tribute,world,3
Action 14,Make dispute resolution mechanisms more effective,TUAC,Trade Union Advisory Committee to the OECD (TUAC),world,3
Action 14,Make dispute resolution mechanisms more effective,United States Council for International Business (USCIB),United States Council for International Business (USCIB),US,3
Action 11,Establishing methodologies to collect and analyse data (2014),CLAUSING Kimberly,CLAUSING Kimberly,US,5
Action 11,Establishing methodologies to collect and analyse data (2014),"HUFBAUER, Gary Clyde","HUFBAUER, Gary Clyde",US,5
Action 11,Establishing methodologies to collect and analyse data (2014),"KOCH, Reinald","KOCH, Reinald",Netherlands,5
Action 11,Establishing methodologies to collect and analyse data (2014),"OESTREICHER, Andreas","OESTREICHER, Andreas",Netherlands,5
Action 11,Establishing methodologies to collect and analyse data (2014),"LANGENMAYR, Dominika","LANGENMAYR, Dominika",Germany,5
Action 11,Establishing methodologies to collect and analyse data (2014),"PANTEGHINI, Paolo","PANTEGHINI, Paolo",italy,5
Action 11,Establishing methodologies to collect and analyse data (2014),"ROBILLARD, Robert","ROBILLARD, Robert",canada,5
Action 11,Establishing methodologies to collect and analyse data (2014),"VAN 'T RIET, Maarten","VAN 'T RIET, Maarten",Netherlands,4
Action 11,Establishing methodologies to collect and analyse data (2014),"LEJOUR, Arjan","LEJOUR, Arjan",Netherlands,5
Action 11,Establishing methodologies to collect and analyse data (2014),"WEICHENRIDER, Alfons","WEICHENRIDER, Alfons",Germany,5
Action 11,Establishing methodologies to collect and analyse data (2014),"ZODROW, George R.","ZODROW, George R.",UK,5
Action 11,Establishing methodologies to collect and analyse data (2014),"DIAMOND, John W.","Diamond, John W.",US,5
Action 11,Establishing methodologies to collect and analyse data (2014),Association of the Luxembourg Fund Industry,Association of the Luxembourg Fund Industry,Luxembourg,2
Action 11,Establishing methodologies to collect and analyse data (2014),BIAC,BIAC,world,2
Action 11,Establishing methodologies to collect and analyse data (2014),CBI (Confederation of British Industry),CBI (Confederation of British Industry),UK,2
Action 11,Establishing methodologies to collect and analyse data (2014),VNO-NCW (Confederation of Netherlands Industry and Employers),VNO-NCW (Confederation of Netherlands Industry and Employers),Netherlands,2
Action 11,Establishing methodologies to collect and analyse data (2014),Federation of German Industries (BDI),Federation of German Industries (BDI),Germany,2
Action 11,Establishing methodologies to collect and analyse data (2014),International Alliance for Principled Taxation (IAPT),International Alliance for Principled Taxation (IAPT),world,2
Action 11,Establishing methodologies to collect and analyse data (2014),Irish Tax Institute,Irish Tax Institute,Ireland,3
Action 11,Establishing methodologies to collect and analyse data (2014),The Consultative Committee of Accountancy Bodies,The Consultative Committee of Accountancy Bodies,UK,3
Action 11,Establishing methodologies to collect and analyse data (2014),United States Council for International Business (USCIB),United States Council for International Business (USCIB),US,3
Action 11,Establishing methodologies to collect and analyse data (2014),KPMG,KPMG,world,3
Action 11,Establishing methodologies to collect and analyse data (2014),NERA Economic Consulting,NERA,world,3
Action 11,Establishing methodologies to collect and analyse data (2014),PwC,PwC,world,3
Action 11,Establishing methodologies to collect and analyse data (2014),RBS RoeverBroennerSusat,RBS RoeverBroennerSusat,Germany,3
Action 11,Establishing methodologies to collect and analyse data (2014),Costa Rica_Ministry of Finance,Costa Rica_Ministry of Finance,costa rica,4
Action 11,Establishing methodologies to collect and analyse data (2014),State Administration of Taxation (People's Republic of China),State Administration of Taxation (People's Republic of China),China,4
Action 11,Establishing methodologies to collect and analyse data (2014),BEPS Monitoring Group (BMG),BEPS Monitoring Group (BMG),world,1
Action 11,Establishing methodologies to collect and analyse data (2014),"HAMILTON, Stuart","HAMILTON, Stuart",US,6
Action 01,Addressing the tax challenges of the digital economy (January 2014),AFME-BBA (Association for Financial Markets in Europe - British Bankers’ Association),AFME (Association for Financial Markets in Europe),europe,2
Action 01,Addressing the tax challenges of the digital economy (January 2014),,BBA (British Bankers’ Association),UK,2
Action 01,Addressing the tax challenges of the digital economy (January 2014),Bates White Economic,Bates White Economic,US,3
Action 01,Addressing the tax challenges of the digital economy (January 2014),BEPS Monitoring Group (BMG),BEPS Monitoring Group (BMG),world,1
Action 01,Addressing the tax challenges of the digital economy (January 2014),Chartered Institute of Taxation (CIOT),Chartered Institute of Taxation (CIOT),UK,5
Action 01,Addressing the tax challenges of the digital economy (January 2014),The Consultative Committee of Accountancy Bodies-Ireland,The Consultative Committee of Accountancy Bodies,UK,3
Action 01,Addressing the tax challenges of the digital economy (January 2014),Deloitte LLP,Deloitte,world,3
Action 01,Addressing the tax challenges of the digital economy (January 2014),Digital Economy Group: Backer & McKenzie LLP,Digital Economy Group,Australia,2
Action 01,Addressing the tax challenges of the digital economy (January 2014),,Backer & McKenzie LLP,US,3
Action 01,Addressing the tax challenges of the digital economy (January 2014),European Banking Federation (EBF),European Banking Federation (EBF),europe,2
Action 01,Addressing the tax challenges of the digital economy (January 2014),Greenwich for FFtélécoms,Greenwich for FFtélécoms,UK,2
Action 01,Addressing the tax challenges of the digital economy (January 2014),GSM Association (GSMA),GSM Association (GSMA),US,2
Action 01,Addressing the tax challenges of the digital economy (January 2014),Informa Group plc,Informa Group plc,UK,2
Action 01,Addressing the tax challenges of the digital economy (January 2014),International Bar Association (IBA),International Bar Association (IBA),UK,3
Action 01,Addressing the tax challenges of the digital economy (January 2014),International Bureau of Fiscal Documentation (IBFD),International Bureau of Fiscal Documentation (IBFD),Netherlands,3
Action 01,Addressing the tax challenges of the digital economy (January 2014),Japanese Commentator (anonymous),Japanese Commentator (anonymous),Japan,6
Action 01,Addressing the tax challenges of the digital economy (January 2014),Solocal Group,Solocal Group,France,2
Action 01,Addressing the tax challenges of the digital economy (January 2014),SwissBanking,SwissBanking,switzerland,2
Action 01,Addressing the tax challenges of the digital economy (January 2014),WTS Tax Legal Consulting,WTS Tax Legal Consulting,Germany,3
Action 10,Transfer Pricing aspects of crossborder commodity Transactions,AAEF (Asociacion Argentina de Esudios Fiscales),AAEF (Asociacion Argentina de Esudios Fiscales),Argentina,3
Action 10,Transfer Pricing aspects of crossborder commodity Transactions,Agata Uceda,Agata Uceda,France,5
Action 10,Transfer Pricing aspects of crossborder commodity Transactions,AOTCA (Asia Oceania Tax Consultants Association),AOTCA (Asia Oceania Tax Consultants Association),asia,3
Action 10,Transfer Pricing aspects of crossborder commodity Transactions,Federation of German Industries (BDI),Federation of German Industries (BDI),Germany,2
Action 10,Transfer Pricing aspects of crossborder commodity Transactions,BEPS Monitoring Group (BMG),BEPS Monitoring Group (BMG),world,1
Action 10,Transfer Pricing aspects of crossborder commodity Transactions,BIAC (Business and Industry Advisory Committee to the OECD),BIAC (Business and Industry Advisory Committee to the OECD),world,2
Action 10,Transfer Pricing aspects of crossborder commodity Transactions,BUSINESSEUROPE (Confederation of European Business),BusinessEurope,europe,2
Action 10,Transfer Pricing aspects of crossborder commodity Transactions,CBI (Confederation of British Industry),CBI (Confederation of British Industry),UK,2
Action 10,Transfer Pricing aspects of crossborder commodity Transactions,CERA (Camara De Exportadores De La Republica Argentina),CERA (Camara De Exportadores De La Republica Argentina),Argentina,2
Action 10,Transfer Pricing aspects of crossborder commodity Transactions,CIARA-CEC (Cámara De La Industria Aceitera De La República Argentina and Centro de Exportadores de Cereales),CIARA (Cámara De La Industria Aceitera De La República Argentina),Argentina,2
Action 10,Transfer Pricing aspects of crossborder commodity Transactions,,CEC (Centro de Exportadores de Cereales),Argentina,2
Action 10,Transfer Pricing aspects of crossborder commodity Transactions,CMS (CMS Bureau Francis Lefebvre),CMS (CMS Bureau Francis Lefebvre),France,3
Action 10,Transfer Pricing aspects of crossborder commodity Transactions,Confederation of Indian Industry (CII),Confederation of Indian Industry (CII),india,2
Action 10,Transfer Pricing aspects of crossborder commodity Transactions,Confederation of Swedish Enterprise,Confederation of Swedish Enterprise,Sweden,2
Action 10,Transfer Pricing aspects of crossborder commodity Transactions,Deloitte (Australia),Deloitte,world,3
Action 10,Transfer Pricing aspects of crossborder commodity Transactions,DRTP Consulting Inc.,DRTP Consulting Inc.,world,3
Action 10,Transfer Pricing aspects of crossborder commodity Transactions,Duff and Phelps,Duff & Phelps,world,3
Action 10,Transfer Pricing aspects of crossborder commodity Transactions,European Business Initiative on Taxation (EBIT),European Business Initiative on Taxation (EBIT),europe,3
Action 10,Transfer Pricing aspects of crossborder commodity Transactions,ED&F Man,ED&F Man,UK,2
Action 10,Transfer Pricing aspects of crossborder commodity Transactions,Ernst & Young,Ernst & Young,world,3
Action 10,Transfer Pricing aspects of crossborder commodity Transactions,Gazprom Marketing and Trading Ltd,Gazprom,Russia,2
Action 10,Transfer Pricing aspects of crossborder commodity Transactions,Grant Thornton International Ltd,Grant Thornton,world,3
Action 10,Transfer Pricing aspects of crossborder commodity Transactions,International Alliance for Principled Taxation (IAPT),International Alliance for Principled Taxation (IAPT),world,2
Action 10,Transfer Pricing aspects of crossborder commodity Transactions,IFA Grupo Mexicano (Mexican Branch of the International Fiscal Association),IFA Mexico,Mexico,1
Action 10,Transfer Pricing aspects of crossborder commodity Transactions,Irish Tax Institute,Irish Tax Institute,Ireland,3
Action 10,Transfer Pricing aspects of crossborder commodity Transactions,"JFTC (Japan Foreign Trade Council, Inc)",Japan Foreign Trade Council (JFTC),Japan,2
Action 10,Transfer Pricing aspects of crossborder commodity Transactions,KPMG International,KPMG,world,3
Action 10,Transfer Pricing aspects of crossborder commodity Transactions,Mazars Netherlands,Mazars,France,3
Action 10,Transfer Pricing aspects of crossborder commodity Transactions,MEDEF (Mouvement des Entreprises de France),MEDEF,France,2
Action 10,Transfer Pricing aspects of crossborder commodity Transactions,NERA Economic Consulting,NERA,world,3
Action 10,Transfer Pricing aspects of crossborder commodity Transactions,PwC (PricewaterhouseCoopers LLP),PwC,world,3
Action 10,Transfer Pricing aspects of crossborder commodity Transactions,STSA (Swiss Trading and Shipping Association),STSA (Swiss Trading and Shipping Association),switzerland,2
Action 10,Transfer Pricing aspects of crossborder commodity Transactions,Taxand South Africa,Taxand,world,3
Action 10,Transfer Pricing aspects of crossborder commodity Transactions,TEI (Tax Executives Institute),"Tax Executives Institute, Inc",world,3
Action 10,Transfer Pricing aspects of crossborder commodity Transactions,"Z&A (Zuzunaga, Assereto & Zegarra Abogados)","Z&A (Zuzunaga, Assereto & Zegarra Abogados)",Peru,3
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,Adacta Studio Associato,Adacta Studio Associato,italy,3
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,AFME-BBA (Association for Financial Markets in Europe - British Bankers’ Association),AFME (Association for Financial Markets in Europe),europe,2
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,,BBA (British Bankers’ Association),UK,2
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,Agata Uceda,Agata Uceda,France,5
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,AAEF (Asociacion Argentina de Esudios Fiscales),AAEF (Asociacion Argentina de Esudios Fiscales),Argentina,3
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,BASF,BASF,Germany,2
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,Federation of German Industries (BDI),Federation of German Industries (BDI),Germany,2
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,BDO,BDO,world,3
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,BEPS Monitoring Group (BMG),BEPS Monitoring Group (BMG),world,1
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,BIAC (Business and Industry Advisory Committee to the OECD),BIAC (Business and Industry Advisory Committee to the OECD),world,2
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,bMoxie,bMoxie,belgium,3
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,BUSINESSEUROPE (Confederation of European Business),BusinessEurope,europe,2
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,CBI (Confederation of British Industry),CBI (Confederation of British Industry),UK,2
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,Consultative Committee of Accountancy Bodies - Ireland,Consultative Committee of Accountancy Bodies - Ireland,Ireland,3
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,Centrum Cen Transferowych (CCT),Centrum Cen Transferowych (CCT),Poland,2
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,Chiomenti Studio Legale (Italy),Chiomenti Studio Legale (Italy),italy,3
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,"Cuatrecasas, Gonçalves Pereira (Spain)",Cuatrecasas Gonçalves Pereira,Spain,5
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,Gleiss Lutz (Germany),Gleiss Lutz (Germany),Germany,3
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,Gide (France),Gide (France),France,3
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,Chartered Institute of Taxation (CIOT),Chartered Institute of Taxation (CIOT),UK,5
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,CMS (CMS Bureau Francis Lefebvre),CMS (CMS Bureau Francis Lefebvre),France,3
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,Confederation of Indian Industry (CII),Confederation of Indian Industry (CII),india,2
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,Confederation of Swedish Enterprise,Confederation of Swedish Enterprise,Sweden,2
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,Deloitte,Deloitte,world,3
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,Die Familieunternehmer,Die Familieunternehmer,Germany,2
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,Dr Frank Schoeneborn,Dr Frank Schoeneborn,Germany,5
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,Dr. Juris Arvid Aage Skaar and Marius Sollund,Dr. Juris Arvid Aage Skaar and Marius Sollund,norway,3
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,Duff and Phelps,Duff & Phelps,world,3
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,EBF,EBF,europe,2
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,EBIT,EBIT,europe,3
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,EY,EY,world,3
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,FIDAL,FIDAL,world,3
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,Fondazione Altagamma,Fondazione Altagamma,italy,2
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,Gazprom Marketing and Trading Ltd,Gazprom,Russia,2
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,Grant Thornton International Ltd,Grant Thornton,world,3
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,Grant Thornton LLP Canada,Grant Thornton,world,3
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,IAPT,IAPT,world,2
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,ICAEW,ICAEW,UK,3
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,,ICAEW,Ireland,3
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,ICC,ICC,world,2
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,IFA Grupo Mexicano (Mexican Branch of the International Fiscal Association),IFA Mexico,Mexico,1
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,Irish Tax Institute,Irish Tax Institute,Ireland,3
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,IUA,IUA,UK,2
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,Japan Foreign Trade Council (JFTC),Japan Foreign Trade Council (JFTC),Japan,2
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,KPMG,KPMG,world,3
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,Laurence Delorme,Laurence Delorme,France,3
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,Ludovici and Partners,Ludovici & Partners,italy,3
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,Macfarlanes LLP,MacFarlanes,UK,3
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,NERA,NERA,world,3
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,NFTC,National Foreign Trade Council (NFTC),US,2
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,Orhan Özer,Orhan Özer,turkey,5
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,P. R. Bhuta and Co Chartered Accountants,P. R. Bhuta and Co Chartered Accountants,india,3
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,PwC,PwC,world,3
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,Quantera Global,Quantera Global,world,3
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,RBRT,RBRT,canada,5
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,Reed Elsevier Group,Reed Elsevier,world,3
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,Roedl,Roedl,Germany,3
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,Roever Broenner Susat (RBS),Roever Broenner Susat (RBS),Germany,3
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,Ryan,Ryan,US,4
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,SABMiller,SABMiller,UK,2
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,Siemens AG,Siemens,Germany,2
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,Studio Biscozzi Nobili,Studio Biscozzi Nobili,italy,3
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,Studio Tributario Tognolo,Studio Tributario Tognolo,italy,3
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,SwissHoldings,SwissHoldings,switzerland,2
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,Taxand,Taxand,world,3
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,TEI,"Tax Executives Institute, Inc",world,3
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,True Partners Consulting,True Partners Consulting,US,3
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,United States Council for International Business (USCIB),United States Council for International Business (USCIB),US,3
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,Valente Associati GEB Partners,Valente Associati GEB Partners,italy,3
Action 10,Modifications to chapter VII of the transfer pricing guidelines relating to low value-adding intra-group services,WTS,WTS Tax Legal Consulting,Germany,3
Action 14,Make dispute resolution mechanisms more effective,AFME-BBA (Association for Financial Markets in Europe - British Bankers’ Association),AFME (Association for Financial Markets in Europe),europe,2
Action 14,Make dispute resolution mechanisms more effective,,BBA (British Bankers’ Association),UK,2
Action 14,Make dispute resolution mechanisms more effective,AlixPartners LLP,AlixPartners LLP,US,3
Action 14,Make dispute resolution mechanisms more effective,AOTCA-CFE,AOTCA (Asia Oceania Tax Consultants Association),asia,3
Action 14,Make dispute resolution mechanisms more effective,,CFE,europe,3
Action 14,Make dispute resolution mechanisms more effective,Arnaud Booij,Arnaud Booij,Netherlands,6
Action 14,Make dispute resolution mechanisms more effective,BDI,BDI,Germany,2
Action 14,Make dispute resolution mechanisms more effective,BDO,BDO,world,3
Action 14,Make dispute resolution mechanisms more effective,BEPS Monitoring Group (BMG),BEPS Monitoring Group (BMG),world,1
Action 14,Make dispute resolution mechanisms more effective,BIAC,BIAC,world,2
Action 14,Make dispute resolution mechanisms more effective,Brose,Brose Fahrzeugteile GmbH & Co KG,Germany,2
Action 14,Make dispute resolution mechanisms more effective,BusinessEurope,BusinessEurope,europe,2
Action 14,Make dispute resolution mechanisms more effective,CBI,CBI (Confederation of British Industry),UK,2
Action 14,Make dispute resolution mechanisms more effective,Christian Aid,Christian Aid,UK,1
Action 14,Make dispute resolution mechanisms more effective,CIOT,CIOT,UK,3
Action 14,Make dispute resolution mechanisms more effective,Confederation of Swedish Enterprise,Confederation of Swedish Enterprise,Sweden,2
Action 14,Make dispute resolution mechanisms more effective,Deloitte,Deloitte,world,3
Action 14,Make dispute resolution mechanisms more effective,EBIT,EBIT,europe,3
Action 14,Make dispute resolution mechanisms more effective,Ernst & Young,Ernst & Young,world,3
Action 14,Make dispute resolution mechanisms more effective,Fernando Serrano,Fernando Serrano,Spain,5
Action 14,Make dispute resolution mechanisms more effective,FIDAL,FIDAL,world,3
Action 14,Make dispute resolution mechanisms more effective,Global Financial Integrity,Global Financial Integrity,US,3
Action 14,Make dispute resolution mechanisms more effective,Grant Thornton,Grant Thornton,world,3
Action 14,Make dispute resolution mechanisms more effective,IAPT,IAPT,world,2
Action 14,Make dispute resolution mechanisms more effective,IBA Taxes Committee,IBA Taxes Committee,UK,3
Action 14,Make dispute resolution mechanisms more effective,ICAEW,ICAEW,UK,3
Action 14,Make dispute resolution mechanisms more effective,,ICAEW,Ireland,3
Action 14,Make dispute resolution mechanisms more effective,ICC,ICC,world,2
Action 14,Make dispute resolution mechanisms more effective,ICI Global,ICI Global,US,3
Action 14,Make dispute resolution mechanisms more effective,IDW,IDW,Germany,5
Action 14,Make dispute resolution mechanisms more effective,IFA Grupo Mexicano (Mexican Branch of the International Fiscal Association),IFA Mexico,Mexico,1
Action 14,Make dispute resolution mechanisms more effective,Irish Tax Institute,Irish Tax Institute,Ireland,3
Action 14,Make dispute resolution mechanisms more effective,IUA,IUA,UK,2
Action 14,Make dispute resolution mechanisms more effective,JFTC,Japan Foreign Trade Council (JFTC),Japan,2
Action 14,Make dispute resolution mechanisms more effective,Keidanren,Keidanren,Japan,2
Action 14,Make dispute resolution mechanisms more effective,KPMG,KPMG,world,3
